Tweet_ID,Raw_Tweet
TWT_001,   Worst product ever!!! #bad  !?!
TWT_002,"   awful, just AWFUL.  !?!"
TWT_003,   Product arrived  yesterday!!!  ***
TWT_004,   just bought this today.     
TWT_005,"   really good, highly recommend!  !?!"
TWT_006,   AWESOME service @support  ...
TWT_007,   AWESOME service @support  ***
TWT_008,   Product arrived  yesterday!!!  !?!
TWT_009,   just bought this today.  ...
TWT_010,"   really good, highly recommend!  ***"
TWT_011,   shipping took 3 days.  ***
TWT_012,   Worst product ever!!! #bad  ***
TWT_013,   such a great experience...  ***
TWT_014,   terrible service... @support  !?!
TWT_015,   such a great experience...  ...
TWT_016,   Worst product ever!!! #bad  !?!
TWT_017,   bad quality... do not buy!  !?!
TWT_018,   bad quality... do not buy!  ...
TWT_019,   shipping took 3 days.  !?!
TWT_020,   such a great experience...  ***
TWT_021,   shipping took 3 days.     
TWT_022,   Product arrived  yesterday!!!  !?!
TWT_023,   it is okay I guess??  ...
TWT_024,   Product arrived  yesterday!!!  !?!
TWT_025,   such a great experience...  !?!
TWT_026,   shipping took 3 days.  ...
TWT_027,   Worst product ever!!! #bad  !?!
TWT_028,   terrible service... @support  ***
TWT_029,   terrible service... @support  ***
TWT_030,   LOved the PROduct!!!     
TWT_031,"   really good, highly recommend!     "
TWT_032,   it is okay I guess??  ...
TWT_033,   Worst product ever!!! #bad  ...
TWT_034,   AWESOME service @support  !?!
TWT_035,"   really good, highly recommend!  ..."
TWT_036,   Product arrived  yesterday!!!  !?!
TWT_037,   terrible service... @support  ***
TWT_038,   terrible service... @support  ***
TWT_039,   just bought this today.  !?!
TWT_040,   it is okay I guess??     
TWT_041,   it is okay I guess??  !?!
TWT_042,   it is okay I guess??  !?!
TWT_043,   terrible service... @support  ...
TWT_044,   shipping took 3 days.  !?!
TWT_045,   terrible service... @support     
TWT_046,"   really good, highly recommend!  !?!"
TWT_047,   shipping took 3 days.  ***
TWT_048,   Worst product ever!!! #bad     
TWT_049,   just bought this today.  !?!
TWT_050,   bad quality... do not buy!  ***
