Tweet_ID,Raw_Tweet
TWT_001,   Product arrived  yesterday!!!  !?!
TWT_002,   bad quality... do not buy!  ***
TWT_003,   just bought this today.  !?!
TWT_004,   bad quality... do not buy!  !?!
TWT_005,   shipping took 3 days.  ...
TWT_006,   Product arrived  yesterday!!!  ...
TWT_007,"   really good, highly recommend!  ***"
TWT_008,   it is okay I guess??  ***
TWT_009,   LOved the PROduct!!!  !?!
TWT_010,   just bought this today.  ...
TWT_011,   just bought this today.  !?!
TWT_012,"   really good, highly recommend!  ..."
TWT_013,   shipping took 3 days.  ***
TWT_014,   Product arrived  yesterday!!!  ...
TWT_015,   it is okay I guess??     
TWT_016,   shipping took 3 days.  !?!
TWT_017,   just bought this today.  ***
TWT_018,"   really good, highly recommend!  ..."
TWT_019,   bad quality... do not buy!  ...
TWT_020,   Worst product ever!!! #bad     
TWT_021,   LOved the PROduct!!!     
TWT_022,   shipping took 3 days.  ***
TWT_023,   just bought this today.  !?!
TWT_024,   terrible service... @support  ...
TWT_025,   just bought this today.  !?!
TWT_026,   just bought this today.  ***
TWT_027,   LOved the PROduct!!!     
TWT_028,   terrible service... @support     
TWT_029,   shipping took 3 days.  !?!
TWT_030,   shipping took 3 days.     
TWT_031,   LOved the PROduct!!!     
TWT_032,"   really good, highly recommend!     "
TWT_033,   it is okay I guess??     
TWT_034,   Worst product ever!!! #bad  ***
TWT_035,   terrible service... @support  !?!
TWT_036,   LOved the PROduct!!!  !?!
TWT_037,"   awful, just AWFUL.  ***"
TWT_038,   just bought this today.  ***
TWT_039,"   awful, just AWFUL.  ..."
TWT_040,   Worst product ever!!! #bad     
TWT_041,   AWESOME service @support  ***
TWT_042,   bad quality... do not buy!  ***
TWT_043,   terrible service... @support  !?!
TWT_044,   terrible service... @support     
TWT_045,   LOved the PROduct!!!  ***
TWT_046,   such a great experience...  !?!
TWT_047,   it is okay I guess??  ***
TWT_048,   bad quality... do not buy!  ...
TWT_049,   such a great experience...  !?!
TWT_050,   just bought this today.  !?!
